Property,Value,Unit
Property,Value,Unit
monomers,F-containing Solid Polymer Electrolyte,N/A
Initiators,Not mentioned,N/A
Temperature,Not mentioned,N/A
Time,Not mentioned,N/A
Mechanism,Not mentioned,N/A
Conductivity,High,N/A
number,"Long-Cycling, High-Safety Lithium Metal Batteries",N/A
window,Various Cathode Materials,N/A
mentioned,N/A,
polymer,Not mentioned,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,-25 to 80,°C
Time,N/A,N/A
Mechanism,In-situ polymerization method,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,In-situ polymerization process,N/A
Interest,,Conductivity
A,N/A,
number,N/A,N/A
window,N/A,N/A
A,N/A,
polymer,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,298.15 to 313.15,K
Time,N/A,N/A
Mechanism,N/A,N/A
Interest,Value,Unit
Conductivity,4.45,mS cm-1 at 25°C
number,N/A,N/A
window,N/A,N/A
A,N/A,
polymer,N/A,N/A
Property,Value,Unit
Mechanism,"Free radical, cationic and anionic ring-opening polymerization",
Property,Value,Unit
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
A,N/A,
polymer,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,25 °C,Celsius
Time,N/A,N/A
Mechanism,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,"Free radical, Cationic, Anionic",N/A
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
density,N/A,N/A
polymer,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,N/A,N/A
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
5,mA cm-2,
polymer,N/A,N/A
Property,Value,Unit
monomers,Fluoroalkyl groups,N/A
Initiators,N/A,N/A
Temperature,25 °C,Celsius
Time,N/A,N/A
Mechanism,"Free radical polymerization mechanism, cationic and anionic ring-opening polymerization",N/A
Interest,Conductivity: Outstanding; ionic transference number: N/A; electrochemical window: N/A; critical current density (CCD): N/A; tensile strength of the polymer: N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,N/A,N/A
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
density,N/A,N/A
polymer,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,N/A,N/A
Interest,Value,Unit
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
A,N/A,
polymer,N/A,N/A
Property,Value,Unit
monomers,FP -GPE,
Initiators,N/A,
Temperature,"-25 to 80 °C, 60 °C",
Time,N/A,
Mechanism,Free radical polymerization mechanism,
Conductivity,1.12 mS cm-1,mS cm-1
number,N/A,
window,N/A,
A,,
polymer,N/A,
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,-25 °C,Celsius
Time,N/A,N/A
Mechanism,N/A,N/A
Interest,Value,Unit
Conductivity,N/A,N/A
number,N/A,N/A
window,N/A,N/A
A,N/A,
polymer,N/A,N/A
Property,Value,Unit
monomers,FP cross-linker,N/A
Initiators,In-situ polymerized,N/A
Temperature,-25 to 80 °C,°C
Time,N/A,N/A
Mechanism,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,N/A,N/A
Interest,N/A,N/A
Property,Value,Unit
monomers,N/A,N/A
Initiators,N/A,N/A
Temperature,N/A,N/A
Time,N/A,N/A
Mechanism,"Free radical polymerization mechanism, ring-opening polymerization",
